class,name,num_instances
83,Spicy shao pointed,351
84,Scallion lamb,500
85,Bazhen tofu,475
86,Donkey meat,802
87,Fried egg roll,167
88,Gourd head bread in the soup,402
89,Fish head tofu soup,300
90,Fried spring rolls with three pieces of silk,398
91,Braised beef brisket on rice,311
92,Smoked fish,993
93,Fried rice noodles with eggs,230
94,Corn ribs soup,501
95,Rib skewers,1019
96,Fried shao mai,280
97,Shredded potatoes with salad,896
98,Glutinous rice balls with peanuts and sesame seed,500
99,Fried potato chips with spicy cabbage,326
100,Crab stick nigiri sushi,347
101,Steamed pumpkin with red dates,563
102,Coconut jelly,337
103,Fried edamame with pickled vegetables,491
104,Braised pork on rice,1887
105,Braised chicken nuggets,367
106,Preserved egg with hot pepper,267
107,Green tea cake,384
108,White rice,1422
109,Pork liver noodle,405
110,Spicy fish,409
111,Sauerkraut beef,185
112,Lotus pond side dishes,461
113,Green pepper stir-fried dregs,321
114,Fried bacon with bamboo shoots,347
115,Grilled prawns,383
116,Grilled duck intestine skewers,218
117,Stir-fried beef fillet with tea mushroom,427
118,Scrambled noodles with tomato and egg,360
119,Snowflake chicken fillet,331
120,Refreshing evergreen,290
121,Fried chicken gizzards,659
122,Scallion sea bass,324
123,Red date and yam congee,428
124,Coarse grain porridge,428
125,Stewed chicken nuggets,449
126,Spicy pork,373
127,Pickled mustard,415
128,Matcha mousse cake,197
129,Snowflake cowboy bones,524
130,Fried flower beetle,385
131,Roast pork,455
132,Flamingo cake,475
133,Colorful face lift,379
134,Cool coconut milk,429
135,Tossed fish skin,442
136,Sparerib noodles,981
137,Boneless chicken feet,500
138,Pork sauerkraut bun,429
139,Soy milk,625
140,Beef brisket noodle,421
141,Five recipes of tender beef,407
142,Fried pork with pleurotus eryngii,938
143,Griddle chicken,343
144,Red bean curd,470
145,Custard bun,272
146,Fried lotus white with oil residue,364
147,Kimchi beef sushi,315
148,Red bean double skin milk,500
149,Mutton soup,1279
150,Fire bun,566
151,Beef and rice noodle soup,391
152,Fried mushrooms,259
153,Stir-fried shredded pork with garlic moss,391
154,Smooth double skin milk,307
155,Soy bean curd,454
156,Beef claypot rice,970
157,Fried chicken chop,491
158,Refreshing lotus root slices,1389
159,Fried shredded pancake,411
160,Hot pot noodles,283
161,Fried pork with chili,465
162,Saute spicy chicken,436
163,Pork with preserved vegetable rice,425
164,Tiramisu cake,543
165,Soy sauce fish,296
166,Baked potato chips,415
167,Cream of mushroom soup,415
168,Baked fairy grass with Taro,862
169,Baked corn with egg yolk,492
170,Steam pot chicken,455
171,Tomato and egg soup,1074
172,River noodles in pig soup,445
173,Matcha yellow peach cake,423
174,Fruit pizza,499
175,Sweet plum and sweet potato,981
176,Cucumber preserved egg soup,427
177,Scrambled egg with chopped chili pepper,343
178,Pineapple cake,454
179,Fried balls and radish,327
180,Steamed abalone with garlic and vermicelli,401
181,Overlord chicken strips,1252
182,Braised chicken,421
183,Three delicacies in casserole,521
184,Crispy corn cob,381
185,Steamed mandarin fish,370
186,Chinese salad,459
187,Hotbed chives with pork,299
188,Clam tofu soup,905
189,Tuna onigiri,298
190,Beef ribs,434
191,Spicy cabbage sushi roll,432
192,Pickled mustard with shredded soup,322
193,Red oil dumplings,409
194,Fried shrimp,498
195,Crispy radish skin,259
196,Fried tofu,448
197,Salted chicken,448
198,Baked pig brain with tin foil,364
199,Sour and spicy fish meal with grain,498
200,Enoki mushroom,330
201,Lotus root box,990
202,Simmered dry noodles,404
203,Pigeon soup,406
204,Duck belly,469
205,Beef jerky,1086
206,Chestnut cream soup,477
207,Plum kidney bean,380
208,Red bean sago,216
209,Lemon sauerkraut fish,411
210,Sauce chili,256
211,Squid crisp,300
212,Spicy korean noodles,1147
213,Steamed rice with mei cai meatloaf,416
214,King crab,399
215,Beef noodle soup,946
216,Fried frog,459
217,Mustard duck feet,476
218,Fried squid,414
219,Cucumber with pork ears,470
220,Oily noodles,1644
221,Red oil yuba,478
222,Soup noodles,227
223,Braised lamb,812
224,Fried noodles,464
225,Grilled salmon sushi,641
226,Lotus seed pork belly soup,279
227,Pickled fresh,373
228,Pepper rabbit,438
229,Beef tendon noodles,784
230,Arctic bay sashimi,474
231,Braised sheepâ€™s hoof,303
232,Cucumber dip,392
233,Chicken rice,379
234,Sweet potato balls with taro,443
235,Egg pancakes,414
236,Braised pork with chestnut,450
237,Stewed foie gras,494
238,Pickled fish rice noodles,486
239,Pork head meat mixed with cucumber,470
240,Black rice porridge,426
241,Griddle ribs,385
242,Sauce beef,468
243,Salt and pepper shrimp,475
244,Stewed chicken soup with cordyceps flower,379
245,Sour soup pork,374
246,Braised pigeon,746
247,Sausage pizza,800
248,Candied sweet potatoes,487
249,Shrimp sushi,598
250,Fried noodles with seafood,364
251,Griddle of pleurotus eryngii,423
252,Fried beans,354
253,The five-star chicken nuggets,295
254,Broth bottom,398
255,Pilaf,422
256,Griddle beef with skin,1025
257,Cold dried eggs,491
258,Celery and peanuts,1035
259,Sauerkraut chicken,292
260,Pickled cucumber,274
261,Potted cake,499
262,Rice burger,356
263,Mango fried yogurt,181
264,Sawdust cup,441
265,Fresh pot rabbit,243
266,Mango sticky rice cake,311
267,Honey roasted whole chicken,680
268,Shredded cake,240
269,Tenderloin skewers,336
270,Salmon salad,348
271,Dry roasted large yellow croaker,316
272,Fish skin dumplings,210
273,Signature chicken feet,318
274,Pimple face,274
275,Fried lamb chops,423
276,Stir-fried squid whiskers,402
277,Fried five spice roll,401
278,Crock soup,409
279,Tofu bubble,466
280,Dried radish omelette,185
281,Shredded potato burrito,500
282,Scrambled eggs with green onion,396
283,Mixed beef,565
284,Garlic bread,1449
285,Sauteed pork with green beans,285
286,Braised vermicelli with chicken and mushroom,490
287,Oreo ice cream,289
288,Braised ham sausage,461
289,Stir-fried pork with green peppers,496
290,Sauerkraut vermicelli soup,438
291,Organic fish,397
292,Shredded squid,796
293,Spicy fried escargot,451
294,Honey chicken feet,278
295,Cucumber mixed with garlic paste,440
296,Watermelon smoothie,235
297,Scallops and shrimp congee,373
298,Multigrain bun,428
299,Cold preserved egg,499
300,Stir-fried lettuce with dace in black bean sauce,393
301,Pickled cabbage powder,1274
302,Stone egg skewers,249
303,Sauteed beef fillet with hot green pepper,374
304,Chicken breast salad,472
305,Chocolate brown cake,324
306,Cucumber fritters,367
307,Steamed pork ribs,434
308,Sea star,353
309,Fried dried tofu,266
310,Fried sweet potato balls,429
311,Guiling paste,467
312,Green vegetable tofu soup,305
313,Mapo tofu,1262
314,Grilled fatty intestine skewers,248
315,Pan-fried pork bun,1569
316,Braised turtle,496
317,Cilantro tofu soup,374
318,Fried rice with sauerkraut and egg,346
319,Mustard pork noodles,287
320,Polenta,494
321,Pork noodles,382
322,Spicy squid,169
323,Ketchup surface,850
324,Grilled cod,286
325,Ice cream cone,484
326,Large rows of rice,333
327,Chestnut shortbread,1347
328,Marinated goose wings,463
329,Vegetarian abalone,427
330,Ice cream ball,352
331,Fried ham with cucumber,335
332,Piggy paige cake,468
333,Chicken sandwich,381
334,Mango black jelly,467
335,Roast chicken,1259
336,Walnut buns,405
337,Braised tofu in abalone sauce,488
338,The oil meat,381
339,Cheese ribs,381
340,Fried dumplings,1427
341,Sushi of floss,397
342,Yongzhou blood duck,429
343,Braised beef brisket en casserole,499
344,Preserved rice,400
345,Guokui,404
346,Fried rice cake with chinese cabbage,393
347,Stewed bean curd soup with crucian carp,575
348,Smoothies,452
349,Elbow,493
350,Cheese baked scallops,339
351,Sauerkraut bass,413
352,Bean buns,858
353,Durian pizza,429
354,Boiled dried shreds,667
355,Steamed chicken feet with black bean sauce,496
356,Blueberry mousse,287
357,Fried rice noodles with eggs,471
358,Rice with duck legs,500
359,Tofu with shallots,379
360,Tomahaw,401
361,Bacon sandwich,386
362,Braised eggplant with bean curd,1572
363,Donkey burger,1772
364,Braised fish with soy sauce,499
365,Rice covered with black pepper steak,473
366,Italian noodle with meat sauce,467
367,Rice with teriyaki drumstick,745
368,Duck blood and bean-starchy vermicelli soup,1144
369,Sauteed lettuce,539
370,Ice powder,467
371,Egg wrapped sausage,477
372,Rainbow cake,796
373,Blueberry smoothie,169
374,Lava cake,306
375,Stir fried vermicelli,455
376,Fried shrimp,1014
377,Fried squid flower,475
378,Stewed croaker in brown sauce,410
379,Quick-fried liver with distilled grains sauce,376
380,Pita bread so awked in beef soup,407
381,Vinegar turnip,472
382,Wonton,1771
383,Beef soup,976
384,Muxu pork,496
385,Seaweed sushi,785
386,Steamed turbot,788
387,Larimichthys,922
388,Fried chicken,559
389,Salted pork in jelly crystal trotter,457
390,Flower cake,285
391,Barbecued pork noodle rolls,294
392,Potato chips on sizzling iron plate,329
393,Fried bean sprouts with leek,426
394,Sesame octopus,518
395,Fried razor clam,1981
396,Cheese pizza,471
397,Pork with garlic sauce,495
398,Scalded beef,415
399,Sugar oil cake,281
400,Braised pork with vermicelli,489
401,Marinated quail eggs,323
402,Chinese chestnut,321
403,Spicy beef soup,360
404,Boiled egg,200
405,Noodles soup,396
406,Braised pork,1080
407,Rice with curry chicken chop,822
408,Balsam pear scrambled eggs,1039
409,Roast chicken wings,375
410,Pork rice,422
411,Fried bacon with lettuce,395
412,Fried eggs with pepper,281
413,Pork stomach,188
414,Australian skewers,288
415,Steamed rice with barbecued pork,292
416,Bread soaked in fish head soup,466
417,Shredded pork skin,651
418,Soy sauce chicken,436
419,Tea flavored shrimp,443
420,Pita bread so awked in lamp soup,983
421,Scramble egg,479
422,Stewed chicken with mushroom,377
423,Grilled chicken breast,272
424,Oyster sauce beef,410
425,Stewed spareribs with potatoes,261
426,Marinated beef tripe,256
427,Sesame paste,348
428,Coconut rice,336
429,Motherâ€™s hoof soup,401
430,Roasted fresh catfish,272
431,Fried pork with dried meat,1941
432,Coconut chicken,535
433,Steamed luffa with minced garlic,364
434,Spareribs with taro,426
435,Fried soybeans with luffa,464
436,Cod fish steak,554
437,Rice bag,418
438,Pickle soup,434
439,Braised pork with braised pork,654
440,Fried shrimp,427
441,Salt and pepper duck chin,1526
442,Tofu pot,378
443,Fried noodles with beef,425
444,Baked prawns with salt,653
445,Spicy hot pot,1764
446,Pork chop soup with radish,498
447,Powder soup,487
448,Spicy fish,663
449,Whitebait soup,963
450,Mixed agaric with coriander,421
451,Bamboo rice,270
452,Fried noodles with beef,447
453,Braised eggplant with meat,455
454,Sugar pie,589
455,Steamed bun with vegetables,387
456,Crystal chicken,420
457,Buddha jumps over the wall,1268
458,Spareribs with brown sauce,370
459,Silky chicken roll,432
460,Fried rice with eel,434
461,Grilled cold noodles,768
462,Cabbage tofu soup,174
463,Northeast big lift,441
464,Grilled chiba tofu,767
465,Fried konjac balls,590
466,Spike potatoes,227
467,Hot and sour chicken feet,236
468,Stir fried lily with celery,414
469,Mango cake,464
470,Japanese tofu with tin foil,456
471,Corn pudding crispy,428
472,Cold taro powder,448
473,Three fresh rice noodles,488
474,Rice cake,386
475,Sauce cake,497
476,Duck soup,434
477,Duomang small meatballs,398
478,Fish ball soup,294
479,Flour cake,378
480,Walnut shortbread,1053
481,Corn pumpkin porridge,390
482,Shrimp and crab porridge,499
483,Hot and sour cabbage,359
484,Brown sugar ice powder,864
485,Egg rice roll,1232
486,Smoked sauce meat platter,578
487,Pepper chicken,336
488,Scrambled eggs with loofah,480
489,Stir fried pork and bone with chili,553
490,Corn grilled ribs,384
491,Roasted yellow throat,426
492,Barbecued pork,406
493,Seaweed soup,433
494,Steamed pork,186
495,Pineapple sweet and sour pork,442
496,Egg waffles,1297
497,Camphor tea duck,498
498,Sausage rice,409
499,Mongolian roasted whole lamb,1321
500,Kelp salad,1321
501,Twice cooked beef,487
502,Fried loofah,377
503,Fried liangpi,429
504,Fried bean curd,500
505,Sweet com pie,937
506,Beef rice roll,326
507,Sausage,379
508,Chicken bibimbap,270
509,Beef offal pot,423
510,Fillet steak,434
511,Banana pancake,839
512,Plum dried vegetable meat bun,383
513,Smoked chicken skeleton,804
514,Eight treasure rice,940
515,Fish pot,409
516,Yam pork ribs congee,308
517,Arctic shellfish sushi,750
518,Liwan boat porridge specialty,472
519,Salami pizza,344
520,Lotus leaf rice,798
521,Salted fish and eggplant claypot,356
522,Mutton string,1224
523,Fried beef with bitter melon,475
524,Stir-fried cauliflower,398
525,Beef hot and sour noodle,420
526,Cold bitter chrysanthemum,201
527,Yellow throat,483
528,Fried chicken with hot peppers,500
529,Tiger cake,458
530,Steamed egg dumplings,236
531,Shredded cucumber,500
532,Spicy noodles,364
533,Grandmaâ€™s scrambled eggs,926
534,Stir-fried chicken with rice pepper,364
535,Smoked hairtail,236
536,Sesame soy sauce lettuce,269
537,Braised beef,500
538,Haggis soup,641
539,Braised pork ribs,469
540,Cake box,494
541,Taro chicken,499
542,Tiger green peppers,500
543,Spicy fried sea screw,313
544,Called naan package meat,320
545,Dried marinated orchid,311
546,Sauteed bacon with peas,432
547,Chicken skin skewers,563
548,Baked scallops,486
549,Scrambled eggs with chives,370
550,Wooden barrel rice,445
551,Noisette three kinds of meat,757
552,Tofu rice noodles,409
553,Chicken rack,1038
554,Cold gluten,217
555,Carbon baking bullfrog,216
556,Spicy bullfrog,431
557,Boiled edamame,392
558,Yam spring rolls,769
559,Fragrant fried sierra,256
560,Hot rice,297
561,Shredded cold papaya,517
562,Golden fried chicken feet,392
563,Winter melon pork ribs soup,868
564,Salted pleurotus eryngii,491
565,Grilled rice cake,299
566,Eggplant rice with fish aroma,463
567,Panda chocolate sundae,456
568,Steamed noodles,672
569,Millet mung bean porridge,398
570,Purple potato porridge,308
571,Duck liver,499
572,Steamed pork ribs with glutinous rice,1243
573,Longjing shrimp,486
574,Cauliflower,432
575,Pipa duck,526
576,Braised beef noodles,434
577,Chicken feet in vinegar,352
578,Tempura,995
579,Shar pei mousse cake,357
580,Crispy rice potatoes,496
581,Steamed spare ribs with taro,391
582,Goat tripe,480
583,Red bean porridge,934
584,Egg noodles,532
585,Braised pork roll,391
586,Mango mousse cake,473
587,Three shreds fried rice noodles,530
588,Spiced boiled fire,383
589,Fried rice with bacon and egg,304
590,Griddle yellowbone fish,341
591,Candied date zongzi,500
592,Celery,364
593,Mushroom chicken claypot rice,1095
594,Steamed pumpkin with lily,797
595,Tomato beef noodle,385
596,Champion and porridge,332
597,Crystal shrimp,440
598,Spicy shrimp,371
599,Egg yolk crisp,500
600,Guogiao tofu,418
601,Beggarâ€™s chicken,487
602,Fried beef with hot pepper,368
603,Vegetable and lean pork porridge,439
604,Boiled white meat,308
605,Adzuki bean fermented rice,325
606,Braised eggplant,451
607,Mushroom with garlic paste,346
608,Fat rice roll,951
609,Blueberry mashed potatoes,375
610,Spinach with gluten,275
611,Soup baby dishes,366
612,Salmon flank sinew,1035
613,Seafood pancake,862
614,Fried rice cake,291
615,Braised chicken with ginseng,828
616,Millet porridge,434
617,Silver carp,198
618,Fried carrot cake,487
619,Dried bamboo shoots and duck pot,349
620,Garlic broccoli,899
621,Pumpkin pie,456
622,Potato wedges,467
623,Donkey meat soup,347
624,Miba,379
625,Duck intestine fried rice,391
626,Roasted bean skewers,306
627,Tuna salad,1126
628,Sliced noodles,416
629,Smoked fish noodle,351
630,Pineapple buns,493
631,Ramen fried rice cake,433
632,Three fresh powder,500
633,Crispy sausage,472
634,Quicksand bag,271
635,Cranberry toast slices,400
636,Ballast congee,455
637,Baked bun,397
638,Drunk crab claws,436
639,Honey chicken wings,218
640,Braised fish head,403
641,Mango milk ice,217
642,Lychee meat,333
643,Pork feet rice,842
644,Banana pizza,400
645,Fried tofu,493
646,Roasted pork with dried beans,404
647,Fried vermicelli,1422
648,Mango sago,422
649,Garlic clove skewers,329
650,Pig vegetable,361
651,Duck leg,490
652,Roll egg,295
653,Three fresh ice powder,461
654,Yellow clam,182
655,Crispy potato grid,331
656,Horseradish fungus,430
657,Fried bacon with bamboo shoots,372
658,Stir-fried green peppers,598
659,Braised pork,431
660,Marinated bullwhip,457
661,Tripe soup powder,342
662,Spicy cucumber,500
663,Kimchi cake,440
664,Fat intestine noodle,989
665,Duck clavicle,184
666,Cauliflower fried pork,499
667,Fried tenderloin,413
668,Steamed sea bass,695
669,Salty bone soup,844
670,Chestnut roast chicken,414
671,Roasted dried tofu rolls,335
672,Tiger egg,496
673,Hand-shredded chicken,1391
674,Egg pudding,316
675,Flower love sushi,497
676,Roast duck noodle sauce,432
677,Sauteed beef with wild pepper,911
678,Sesame sauce liangpi,1777
679,Bacteria soup,263
680,Grilled pork bone skewers,779
681,Pork noodles with pickled vegetables,402
682,Delicious crispy rice,159
683,Egg yolk pork floss seaweed rice,370
684,Shrimp shaomai,492
685,Fried chicken,1357
686,Corn grated with cheese,177
687,Sour plum soup,394
688,Hand catch seafood,457
689,Small noodles,1235
690,Fried wanton,1429
691,Mushrooms and cabbage,337
692,Mushroom chicken congee,422
693,Sour soup dumplings,371
694,Braised konjac,281
695,Hot pot ice cream,325
696,Mango salmon roll sushi,249
697,Egg yolk lobster,463
698,Plum dried vegetable biscuits,559
699,Yogurt,938
700,Curry pork chop rice,453
701,Crispy bamboo shoots in chicken sauce,263
702,Fried rice with ham,500
703,Braised pork,459
704,Fried cucumber with basil,326
705,Tiger vegetables,289
706,Tofu skin sushi,396
707,Chinese yam lean meat porridge,500
708,French lamb chops,403
709,Garden chicken,851
710,Tea tree mushroom ribs soup,395
711,Fried kidney,498
712,Pork floss,499
713,Jade burned,497
714,Pickled pepper fish skin,168
715,Cold chicken feet,469
716,Coriander with beef,713
717,Fried fungus with yam,995
718,Taste shrimp,484
719,Fruit fishing,967
720,Fried cuttlefish ball,264
721,White porridge,456
722,Cucumber mixed jellyfish,214
723,Baked enoki mushrooms in tin foil,317
724,Salt and pepper lobster,427
725,Frozen tofu,429
726,Seafood pimple soup,441
727,Mixed sauce hot and sour noodles,513
728,Honey yellow peach,385
729,Rose ice powder,495
730,Roasted shiitake mushrooms,259
731,Spicy shrimp,985
732,Diving fish,382
733,Sugar fried hawthorn,447
734,Mushroom crispy bamboo shoots,441
735,Family portrait sushi,485
736,Durian cheese pizza,448
737,Whose mariko,451
738,Soft-boiled egg,193
739,Pan-fried long lee fish,259
740,Grilled fish on paper,265
741,Curry rice,995
742,Hot and sour tripe soup,341
743,Butyl five ren sauce,406
744,Mango layer cake,411
745,Egg ham fried rice,439
746,Peony shrimp sashimi,288
747,Radish beef,500
748,Dry fans,493
749,White cut saltwater duck,462
750,Matcha smoothie,196
751,Sour radish duck soup,413
752,Pork with pickled vegetables,609
753,Grilled mackerel,322
754,Swiss roll cake,419
755,Strawberry milk pudding,178
756,Cold kelp root,462
757,Sea oyster,425
758,Grilled fish with sauerkraut,350
759,Mutton freeing,1238
760,Spicy duck jane,283
761,Argentine red shrimp,360
762,Tofu soup,363
763,One shrimp for two,470
764,Wild vegetable dumpling,294
765,Kelp rib soup,851
766,Fried pork chops,428
767,Halogen duck tongue,914
768,Lame claypot rice,1176
769,Floss sushi,456
770,Stir fried fungus with cabbage,437
771,Durian cake,454
772,Seaweed warship sushi,938
773,Avocado salad,484
774,Pure sausage,453
775,Stir-fried fat intestine,319
776,Purple rice porridge,432
777,Brine geese,417
778,Foil flower beetle powder,262
779,Scrambled eggs with sauce,938
780,Cornmeal buns,469
781,Rice porridge,780
782,Stir-fried long beans,742
783,Pan-seared foie gras,446
784,Steamed buns,491
785,Black rice cake,243
786,Fried eggplant box,309
787,Chinese seaweed salad,489
788,Roasted garlic naan,293
789,Zongzi,215
790,Halogen rabbit head,1141
791,Green pepper shredded pork rice bowl,498
792,Spiced rabbit head,1988
793,Snow white juice with mango and black sticky rice,385
794,Preserved egg and lean meat porridge,375
795,Braised old goose,1113
796,Sesame sauce noodles,428
797,Orleans roasted whole leg,526
798,Nougat,464
799,The ring oil eel,420
800,Oily baby cabbage,275
801,Chicken chop rice,962
802,Fried cheese chicken chop,288
803,Braised pork ribs,295
804,Griddle ribs and shrimp,386
805,Spinach in soup,509
806,Fried chicken with mushroom,451
807,Old duck soup with tea tree mushrooms,938
808,Mushroom rape,354
809,Hot and sour fern root powder,477
810,Stuffed gluten balls,386
811,Sweet com on the cob,201
812,Spare ribs pot,845
813,Finding nemo pizza,413
814,Shao powder,434
815,Griddle shrimp,292
816,Minced pork nigiri sushi,500
817,Cooked tripe of sheep or swine,820
818,Preserved egg with cucumber,317
819,Durian black glutinous rice,417
820,Yam and vegetable porridge,265
821,Meatball soup,433
822,Pork belly chicken,1189
823,Pan-fried chicken chop,1476
824,Salt and pepper pork,1524
825,Clam and winter melon soup,415
826,Chocolate poppy cake,420
827,Fruit cream cake,438
828,Spicy fried rice cake,1022
829,Rose cake,477
830,California roll sushi,502
831,Hemp group,448
832,Tonkotsu ramen,386
833,Barbecued pork crisp,409
834,Beef noodle soup,427
835,Pancake,478
836,Mutton vermicelli,863
837,New orleans pizza,398
838,Chicken bone skewers,230
839,Eel congee,414
840,Stew,488
841,Diced carrot,340
842,Fried cake,179
843,Crystal shrimp dumpling,458
844,Fried sliced pork with mushrooms,364
845,Geoduck sashimi,311
846,Red oil belly silk,391
847,Eggplant claypot,397
848,Spicy grilled meat mixed with rice,1028
849,Old vinegar sting,413
850,The spicy cold eating rabbit meat,446
851,Fried yellow beef,457
852,Oxtail soup,412
853,Steamed egg,303
854,Spicy bullfrog,457
855,Toon seedlings mixed with tofu shreds,488
856,White snow black glutinous rice,675
857,Stir-fried pork belly with chili,455
858,Brown sugar hair cake,871
859,Fried taro roll,431
860,Red bean ice,501
861,Sansho black fungus,302
862,Fried pork with beans,569
863,Pan-fried fish,498
864,Fresh pepper fish,475
865,Scrambled eggs with onions,357
866,Scrambled eggs with cucumber,287
867,Bean curd stick,468
868,Dip in pickles,403
869,Macaron,476
870,Chicken noodles,481
871,Braised fish pot,255
872,Chopped pepper and taro,364
873,Push cake,822
874,Spicy chicken rice,400
875,Fennel fried dough sticks,478
876,Lemon fish,418
877,Sizzling shrimp,436
878,Green beans in garlic sauce,418
879,Honey cake,194
880,Grilled chicken skewers,271
881,Dried intestines,272
882,Spiced marinated eggs,481
883,Dried vegetable with fried egg,383
884,Steamed egg with shrimp,212
885,Crispy rice cake,399
886,Thick honey toast,309
887,Salt baked chicken feet,370
888,Tin foil baby cabbage,299
889,Cheese bacon pizza,346
890,Black rice and red bean porridge,368
891,Grilled small yellow croaker,297
892,Scrambled eggs with local vegetables,912
893,Fried chili,399
894,Fish with tomato,431
895,Stir-fried bacon with garlic moss,395
896,Drunken fish,442
897,Spiced corned egg,364
898,Fried tofu,277
899,Tapioca pudding,429
900,Sweet and spicy fried chicken,398
901,Puffs,933
902,Fried vermicelli with bean sprouts,300
903,Sautizceed fish in chili sauce,396
904,Sautizceed bullfrog in chili sauce,280
905,Cold noodles with sesame sauce,495
906,Sea food noodles,489
907,Spicy chicken,1635
908,Braised Tofu,489
909,Tuna and seaweed rolled rice,433
910,Haggis noodle soup,485
911,Chicken salad noodles,461
912,Salted egg yolk with crispy crust,384
913,Fried fish cake,297
914,Red bean pie,363
915,Cumin chicken fillet,973
916,Durian pizza,447
917,Fried noodles with beef,421
918,Pork chop bun,490
919,Big bone soup,173
920,Chocolate covered croissant,495
921,Roasted garlic,300
922,Custard piglet bun,387
923,Fried milk melon with garlic slices,424
924,Scrambled eggs with shrimp,429
925,Grilled vegetarian chicken skewers,378
926,Potato flour with seafood,446
927,Shrimp dumpling king,494
928,Cow ribs,416
929,Griddle cabbage,388
930,Double beef fort,275
931,Seafood noodles,482
932,Fried udon,531
933,Duck foot pot with snail,490
934,Delicious jelly,1511
935,Fried chicken with edamame,376
936,Mashed potatoes with cheese,500
937,Sauce burst screws,376
938,Crab Dumplings in Soup,1961
939,Pearl balls,736
940,Oreo sawdust cup,476
941,Cucumber with beef,365
942,Spicy beef noodle,409
943,Sashimi platter,480
944,Braised winter melon,258
945,Teriyaki chicken chop rice,462
946,Roast chicken butt,214
947,Peanut edamame,338
948,Foie gras sushi,418
949,Whirlwind potato tower,411
950,Angel cake,467
951,Fruit spell,413
952,Boiled quail eggs,486
953,Steamed chicken feet with sauce,1145
954,Chocolate sundae,274
955,Old kitchen cabbage,481
956,Spicy rice noodles,818
957,Steamed Fish Head with sauce,353
958,Fried sheep miscellaneous,559
959,Chestnut,389
960,Salt and pepper prawns,409
961,Burning smell platter,1019
962,Milk and peach gum,422
963,Skewer shrimp,219
964,Foil grilled fish,716
965,Chopped green onion Fried eggs,418
966,Ramen with beef,447
967,Braised hairtail,394
968,Mix powder,286
969,River snail,496
970,Chicken pot,1727
971,Chicken wing rice,501
972,Geoduck sashimi,495
973,Chocolate,308
974,Croissant,493
975,Spiced beef,815
976,Cheese pizza,486
977,Braised lamb,401
978,Fried yam,368
979,Steamed multiple preserved hams,271
980,Mussels screw,231
981,Salted duck egg,1096
982,Black sesame quicksand bun,375
983,Glutinous rice cake,285
984,Salad crispy chicken rice,924
985,Rattan pepper chicken,345
986,Braised chicken in casserole,406
987,Garlic crayfish,1333
988,Sakura roll,674
989,Fried octopus,872
990,Cheese back ribs,330
991,Sauerkraut fried rice,423
992,Griddle duck,449
993,Fried pork slices,498
994,Red date cake,406
995,Cold cut foie gras,1012
996,Red bean taro balls,488
997,Fried intestines,452
998,Stir-fried pork belly with spicy cabbage,445
999,Instant noodles,360
1000,Frisizcee mixed with almonds,412
1001,Fried lamb,408
1002,Baked steamed bun slices,777
1003,Pumpkin cream soup,293
1004,Fried tofu,662
1005,Fresh taro,242
1006,Grilled rack of lamb,1816
1007,Tossed cellophane noodles,427
1008,Scalded tripe,396
